"trainer/global_step","fresh-sun-3 - _step","fresh-sun-3 - _step__MIN","fresh-sun-3 - _step__MAX","fresh-sun-3 - train/rel_error","fresh-sun-3 - train/rel_error__MIN","fresh-sun-3 - train/rel_error__MAX","royal-fire-2 - _step","royal-fire-2 - _step__MIN","royal-fire-2 - _step__MAX","royal-fire-2 - train/rel_error","royal-fire-2 - train/rel_error__MIN","royal-fire-2 - train/rel_error__MAX","floral-breeze-1 - _step","floral-breeze-1 - _step__MIN","floral-breeze-1 - _step__MAX","floral-breeze-1 - train/rel_error","floral-breeze-1 - train/rel_error__MIN","floral-breeze-1 - train/rel_error__MAX"
"15","0","0","0","0.5251986980438232","0.5251986980438232","0.5251986980438232","0","0","0","0.5251733660697937","0.5251733660697937","0.5251733660697937","0","0","0","1.3130762577056885","1.3130762577056885","1.3130762577056885"
"31","1","1","1","0.2796613276004791","0.2796613276004791","0.2796613276004791","1","1","1","0.2796406149864197","0.2796406149864197","0.2796406149864197","1","1","1","0.45594027638435364","0.45594027638435364","0.45594027638435364"
"47","2","2","2","0.24942755699157715","0.24942755699157715","0.24942755699157715","2","2","2","0.24940282106399536","0.24940282106399536","0.24940282106399536","2","2","2","0.3410658538341522","0.3410658538341522","0.3410658538341522"
"63","4","4","4","0.23076067864894867","0.23076067864894867","0.23076067864894867","4","4","4","0.2307354062795639","0.2307354062795639","0.2307354062795639","4","4","4","0.3047488033771515","0.3047488033771515","0.3047488033771515"
"79","5","5","5","0.21484331786632538","0.21484331786632538","0.21484331786632538","5","5","5","0.21482093632221222","0.21482093632221222","0.21482093632221222","5","5","5","0.28910666704177856","0.28910666704177856","0.28910666704177856"
"95","6","6","6","0.1994612067937851","0.1994612067937851","0.1994612067937851","6","6","6","0.1994326412677765","0.1994326412677765","0.1994326412677765","6","6","6","0.2782741189002991","0.2782741189002991","0.2782741189002991"
"111","8","8","8","0.1848141849040985","0.1848141849040985","0.1848141849040985","8","8","8","0.18477347493171692","0.18477347493171692","0.18477347493171692","8","8","8","0.2702037990093231","0.2702037990093231","0.2702037990093231"
"127","9","9","9","0.17169760167598724","0.17169760167598724","0.17169760167598724","9","9","9","0.17164786159992218","0.17164786159992218","0.17164786159992218","9","9","9","0.26250556111335754","0.26250556111335754","0.26250556111335754"
"143","10","10","10","0.16071508824825287","0.16071508824825287","0.16071508824825287","10","10","10","0.16066575050354004","0.16066575050354004","0.16066575050354004","10","10","10","0.25565487146377563","0.25565487146377563","0.25565487146377563"
"159","12","12","12","0.15174263715744019","0.15174263715744019","0.15174263715744019","12","12","12","0.15170013904571533","0.15170013904571533","0.15170013904571533","12","12","12","0.24926334619522095","0.24926334619522095","0.24926334619522095"
"175","13","13","13","0.1443023383617401","0.1443023383617401","0.1443023383617401","13","13","13","0.14427068829536438","0.14427068829536438","0.14427068829536438","13","13","13","0.24345386028289795","0.24345386028289795","0.24345386028289795"
"191","14","14","14","0.13834981620311737","0.13834981620311737","0.13834981620311737","14","14","14","0.13833346962928772","0.13833346962928772","0.13833346962928772","14","14","14","0.23757357895374298","0.23757357895374298","0.23757357895374298"
"207","16","16","16","0.13361939787864685","0.13361939787864685","0.13361939787864685","16","16","16","0.13361907005310059","0.13361907005310059","0.13361907005310059","16","16","16","0.23206821084022522","0.23206821084022522","0.23206821084022522"
"223","17","17","17","0.12968696653842926","0.12968696653842926","0.12968696653842926","17","17","17","0.12970250844955444","0.12970250844955444","0.12970250844955444","17","17","17","0.22694233059883118","0.22694233059883118","0.22694233059883118"
"239","18","18","18","0.12620611488819122","0.12620611488819122","0.12620611488819122","18","18","18","0.12623341381549835","0.12623341381549835","0.12623341381549835","18","18","18","0.22200720012187958","0.22200720012187958","0.22200720012187958"
"255","20","20","20","0.1232328861951828","0.1232328861951828","0.1232328861951828","20","20","20","0.1232723593711853","0.1232723593711853","0.1232723593711853","20","20","20","0.2174108624458313","0.2174108624458313","0.2174108624458313"
"271","21","21","21","0.12086281180381775","0.12086281180381775","0.12086281180381775","21","21","21","0.12091045826673508","0.12091045826673508","0.12091045826673508","21","21","21","0.21312186121940613","0.21312186121940613","0.21312186121940613"
"287","22","22","22","0.11863104999065399","0.11863104999065399","0.11863104999065399","22","22","22","0.11868546158075333","0.11868546158075333","0.11868546158075333","22","22","22","0.20856302976608276","0.20856302976608276","0.20856302976608276"
"303","24","24","24","0.11648710072040558","0.11648710072040558","0.11648710072040558","24","24","24","0.11655443161725998","0.11655443161725998","0.11655443161725998","24","24","24","0.20432521402835846","0.20432521402835846","0.20432521402835846"
"319","25","25","25","0.11482347548007965","0.11482347548007965","0.11482347548007965","25","25","25","0.11489914357662201","0.11489914357662201","0.11489914357662201","25","25","25","0.20068736374378204","0.20068736374378204","0.20068736374378204"
"335","26","26","26","0.11328297853469849","0.11328297853469849","0.11328297853469849","26","26","26","0.11336404085159302","0.11336404085159302","0.11336404085159302","26","26","26","0.19722861051559448","0.19722861051559448","0.19722861051559448"
"351","28","28","28","0.11176212877035141","0.11176212877035141","0.11176212877035141","28","28","28","0.11184487491846085","0.11184487491846085","0.11184487491846085","28","28","28","0.1933785378932953","0.1933785378932953","0.1933785378932953"
"367","29","29","29","0.11053168028593063","0.11053168028593063","0.11053168028593063","29","29","29","0.11061065644025803","0.11061065644025803","0.11061065644025803","29","29","29","0.1903197169303894","0.1903197169303894","0.1903197169303894"
"383","30","30","30","0.10932158678770065","0.10932158678770065","0.10932158678770065","30","30","30","0.10941605269908905","0.10941605269908905","0.10941605269908905","30","30","30","0.18670588731765747","0.18670588731765747","0.18670588731765747"
"399","32","32","32","0.10833878070116043","0.10833878070116043","0.10833878070116043","32","32","32","0.10843364894390106","0.10843364894390106","0.10843364894390106","32","32","32","0.1839563250541687","0.1839563250541687","0.1839563250541687"
"415","33","33","33","0.10710705816745758","0.10710705816745758","0.10710705816745758","33","33","33","0.10718128085136414","0.10718128085136414","0.10718128085136414","33","33","33","0.18124572932720184","0.18124572932720184","0.18124572932720184"
"431","34","34","34","0.10619455575942993","0.10619455575942993","0.10619455575942993","34","34","34","0.1062886044383049","0.1062886044383049","0.1062886044383049","34","34","34","0.17846158146858215","0.17846158146858215","0.17846158146858215"
"447","35","35","35","0.1053159162402153","0.1053159162402153","0.1053159162402153","35","35","35","0.10542745143175125","0.10542745143175125","0.10542745143175125","35","35","35","0.17600341141223907","0.17600341141223907","0.17600341141223907"
"463","37","37","37","0.10434524714946747","0.10434524714946747","0.10434524714946747","37","37","37","0.10446672886610031","0.10446672886610031","0.10446672886610031","37","37","37","0.17368726432323456","0.17368726432323456","0.17368726432323456"
"479","38","38","38","0.10363664478063583","0.10363664478063583","0.10363664478063583","38","38","38","0.1037404015660286","0.1037404015660286","0.1037404015660286","38","38","38","0.1712721437215805","0.1712721437215805","0.1712721437215805"
"495","39","39","39","0.10280844569206238","0.10280844569206238","0.10280844569206238","39","39","39","0.10290827602148056","0.10290827602148056","0.10290827602148056","39","39","39","0.16906525194644928","0.16906525194644928","0.16906525194644928"
"511","41","41","41","0.10208188742399216","0.10208188742399216","0.10208188742399216","41","41","41","0.10221483558416367","0.10221483558416367","0.10221483558416367","41","41","41","0.1669020652770996","0.1669020652770996","0.1669020652770996"
"527","42","42","42","0.10140687227249146","0.10140687227249146","0.10140687227249146","42","42","42","0.10153269022703171","0.10153269022703171","0.10153269022703171","42","42","42","0.16477881371974945","0.16477881371974945","0.16477881371974945"
"543","43","43","43","0.10069990158081055","0.10069990158081055","0.10069990158081055","43","43","43","0.10080525279045105","0.10080525279045105","0.10080525279045105","43","43","43","0.1631850153207779","0.1631850153207779","0.1631850153207779"
"559","45","45","45","0.10009555518627167","0.10009555518627167","0.10009555518627167","45","45","45","0.10022517293691635","0.10022517293691635","0.10022517293691635","45","45","45","0.1611776351928711","0.1611776351928711","0.1611776351928711"
"575","46","46","46","0.09944911301136017","0.09944911301136017","0.09944911301136017","46","46","46","0.09956008940935135","0.09956008940935135","0.09956008940935135","46","46","46","0.15942421555519104","0.15942421555519104","0.15942421555519104"
"591","47","47","47","0.09877321869134903","0.09877321869134903","0.09877321869134903","47","47","47","0.09887778013944626","0.09887778013944626","0.09887778013944626","47","47","47","0.15791170299053192","0.15791170299053192","0.15791170299053192"
"607","49","49","49","0.0982331857085228","0.0982331857085228","0.0982331857085228","49","49","49","0.09834510833024979","0.09834510833024979","0.09834510833024979","49","49","49","0.15621671080589294","0.15621671080589294","0.15621671080589294"
"623","50","50","50","0.09758022427558899","0.09758022427558899","0.09758022427558899","50","50","50","0.0976845771074295","0.0976845771074295","0.0976845771074295","50","50","50","0.15463994443416595","0.15463994443416595","0.15463994443416595"
"639","51","51","51","0.09715572744607925","0.09715572744607925","0.09715572744607925","51","51","51","0.09726841002702713","0.09726841002702713","0.09726841002702713","51","51","51","0.15325447916984558","0.15325447916984558","0.15325447916984558"
"655","53","53","53","0.09656161814928055","0.09656161814928055","0.09656161814928055","53","53","53","0.09667892009019852","0.09667892009019852","0.09667892009019852","53","53","53","0.15190115571022034","0.15190115571022034","0.15190115571022034"
"671","54","54","54","0.09609685093164444","0.09609685093164444","0.09609685093164444","54","54","54","0.09620343148708344","0.09620343148708344","0.09620343148708344","54","54","54","0.15060028433799744","0.15060028433799744","0.15060028433799744"
"687","55","55","55","0.09551743417978287","0.09551743417978287","0.09551743417978287","55","55","55","0.095649853348732","0.095649853348732","0.095649853348732","55","55","55","0.14931832253932953","0.14931832253932953","0.14931832253932953"
"703","57","57","57","0.09508753567934036","0.09508753567934036","0.09508753567934036","57","57","57","0.09521612524986267","0.09521612524986267","0.09521612524986267","57","57","57","0.14819534122943878","0.14819534122943878","0.14819534122943878"
"719","58","58","58","0.09461380541324615","0.09461380541324615","0.09461380541324615","58","58","58","0.09475327283143997","0.09475327283143997","0.09475327283143997","58","58","58","0.14705441892147064","0.14705441892147064","0.14705441892147064"
"735","59","59","59","0.09408997744321823","0.09408997744321823","0.09408997744321823","59","59","59","0.0942411720752716","0.0942411720752716","0.0942411720752716","59","59","59","0.14576804637908936","0.14576804637908936","0.14576804637908936"
"751","61","61","61","0.09369447827339172","0.09369447827339172","0.09369447827339172","61","61","61","0.09381667524576187","0.09381667524576187","0.09381667524576187","61","61","61","0.1446521133184433","0.1446521133184433","0.1446521133184433"
"767","62","62","62","0.09325800836086273","0.09325800836086273","0.09325800836086273","62","62","62","0.09340062737464905","0.09340062737464905","0.09340062737464905","62","62","62","0.1433616429567337","0.1433616429567337","0.1433616429567337"
"783","63","63","63","0.09279190003871918","0.09279190003871918","0.09279190003871918","63","63","63","0.09288403391838074","0.09288403391838074","0.09288403391838074","63","63","63","0.14236733317375183","0.14236733317375183","0.14236733317375183"
"799","65","65","65","0.0923234149813652","0.0923234149813652","0.0923234149813652","65","65","65","0.09248995780944824","0.09248995780944824","0.09248995780944824","65","65","65","0.14142121374607086","0.14142121374607086","0.14142121374607086"
"815","66","66","66","0.09207941591739655","0.09207941591739655","0.09207941591739655","66","66","66","0.09223762899637222","0.09223762899637222","0.09223762899637222","66","66","66","0.14047837257385254","0.14047837257385254","0.14047837257385254"
"831","67","67","67","0.09159141033887863","0.09159141033887863","0.09159141033887863","67","67","67","0.09172209352254868","0.09172209352254868","0.09172209352254868","67","67","67","0.1395772099494934","0.1395772099494934","0.1395772099494934"
"847","68","68","68","0.09113949537277222","0.09113949537277222","0.09113949537277222","68","68","68","0.09125638008117676","0.09125638008117676","0.09125638008117676","68","68","68","0.13860493898391724","0.13860493898391724","0.13860493898391724"
"863","70","70","70","0.09074663370847702","0.09074663370847702","0.09074663370847702","70","70","70","0.09087229520082474","0.09087229520082474","0.09087229520082474","70","70","70","0.13780221343040466","0.13780221343040466","0.13780221343040466"
"879","71","71","71","0.09034699946641922","0.09034699946641922","0.09034699946641922","71","71","71","0.09045778959989548","0.09045778959989548","0.09045778959989548","71","71","71","0.13687629997730255","0.13687629997730255","0.13687629997730255"
"895","72","72","72","0.09003187716007233","0.09003187716007233","0.09003187716007233","72","72","72","0.09014347195625305","0.09014347195625305","0.09014347195625305","72","72","72","0.1360248178243637","0.1360248178243637","0.1360248178243637"
"911","74","74","74","0.08960442245006561","0.08960442245006561","0.08960442245006561","74","74","74","0.08973857015371323","0.08973857015371323","0.08973857015371323","74","74","74","0.13525390625","0.13525390625","0.13525390625"
"927","75","75","75","0.08929269015789032","0.08929269015789032","0.08929269015789032","75","75","75","0.08943560719490051","0.08943560719490051","0.08943560719490051","75","75","75","0.13437442481517792","0.13437442481517792","0.13437442481517792"
"943","76","76","76","0.08886127173900604","0.08886127173900604","0.08886127173900604","76","76","76","0.08901648223400116","0.08901648223400116","0.08901648223400116","76","76","76","0.13366131484508514","0.13366131484508514","0.13366131484508514"
"959","78","78","78","0.08840499818325043","0.08840499818325043","0.08840499818325043","78","78","78","0.08857978135347366","0.08857978135347366","0.08857978135347366","78","78","78","0.13310810923576355","0.13310810923576355","0.13310810923576355"
"975","79","79","79","0.08817289769649506","0.08817289769649506","0.08817289769649506","79","79","79","0.08830570429563522","0.08830570429563522","0.08830570429563522","79","79","79","0.13223916292190552","0.13223916292190552","0.13223916292190552"
"991","80","80","80","0.08781666308641434","0.08781666308641434","0.08781666308641434","80","80","80","0.08796878904104233","0.08796878904104233","0.08796878904104233","80","80","80","0.13158097863197327","0.13158097863197327","0.13158097863197327"
"1007","82","82","82","0.08745405822992325","0.08745405822992325","0.08745405822992325","82","82","82","0.08761526644229889","0.08761526644229889","0.08761526644229889","82","82","82","0.13079595565795898","0.13079595565795898","0.13079595565795898"
"1023","83","83","83","0.08709162473678589","0.08709162473678589","0.08709162473678589","83","83","83","0.08723936975002289","0.08723936975002289","0.08723936975002289","83","83","83","0.13025011122226715","0.13025011122226715","0.13025011122226715"
"1039","84","84","84","0.08671139925718307","0.08671139925718307","0.08671139925718307","84","84","84","0.08688110113143921","0.08688110113143921","0.08688110113143921","84","84","84","0.1296408623456955","0.1296408623456955","0.1296408623456955"
"1055","86","86","86","0.08652445673942566","0.08652445673942566","0.08652445673942566","86","86","86","0.08668094873428345","0.08668094873428345","0.08668094873428345","86","86","86","0.12882201373577118","0.12882201373577118","0.12882201373577118"
"1071","87","87","87","0.0862869843840599","0.0862869843840599","0.0862869843840599","87","87","87","0.08632293343544006","0.08632293343544006","0.08632293343544006","87","87","87","0.12821227312088013","0.12821227312088013","0.12821227312088013"
"1087","88","88","88","0.08579797297716141","0.08579797297716141","0.08579797297716141","88","88","88","0.08587990701198578","0.08587990701198578","0.08587990701198578","88","88","88","0.12748436629772186","0.12748436629772186","0.12748436629772186"
"1103","90","90","90","0.08555181324481964","0.08555181324481964","0.08555181324481964","90","90","90","0.08569418638944626","0.08569418638944626","0.08569418638944626","90","90","90","0.12702341377735138","0.12702341377735138","0.12702341377735138"
"1119","91","91","91","0.08525492995977402","0.08525492995977402","0.08525492995977402","91","91","91","0.08535656332969666","0.08535656332969666","0.08535656332969666","91","91","91","0.12627747654914856","0.12627747654914856","0.12627747654914856"
"1135","92","92","92","0.08490856736898422","0.08490856736898422","0.08490856736898422","92","92","92","0.0850021094083786","0.0850021094083786","0.0850021094083786","92","92","92","0.1259266883134842","0.1259266883134842","0.1259266883134842"
"1151","94","94","94","0.08458543568849564","0.08458543568849564","0.08458543568849564","94","94","94","0.08473976701498032","0.08473976701498032","0.08473976701498032","94","94","94","0.12525518238544464","0.12525518238544464","0.12525518238544464"
"1167","95","95","95","0.08428677916526794","0.08428677916526794","0.08428677916526794","95","95","95","0.0843721404671669","0.0843721404671669","0.0843721404671669","95","95","95","0.12474484741687775","0.12474484741687775","0.12474484741687775"
"1183","96","96","96","0.08413653075695038","0.08413653075695038","0.08413653075695038","96","96","96","0.08417903631925583","0.08417903631925583","0.08417903631925583","96","96","96","0.12423460185527802","0.12423460185527802","0.12423460185527802"
"1199","98","98","98","0.08373453468084335","0.08373453468084335","0.08373453468084335","98","98","98","0.08381634950637817","0.08381634950637817","0.08381634950637817","98","98","98","0.12374769151210785","0.12374769151210785","0.12374769151210785"
"1215","99","99","99","0.08336716145277023","0.08336716145277023","0.08336716145277023","99","99","99","0.08351171016693115","0.08351171016693115","0.08351171016693115","99","99","99","0.12324164062738419","0.12324164062738419","0.12324164062738419"
